slug,published,recoverable_via_parked_source_url,priority
4x8-chicken-coop,true,false,P1
adirondack-chair,true,false,P1
barn-bird-house-and-feeder,true,false,P1
better-bee-house,true,false,P1
built-in-bookcases,true,false,P1
campaign-style-storage-box,true,false,P1
camper-napkin-holder,true,false,P1
catch-all-tray,true,false,P1
cedar-mailbox-with-corbels,true,false,P1
cedar-planter-box,true,false,P1
cedar-raised-garden-bed,true,false,P1
charlie-nightstand,true,false,P1
cherry-serving-board-with-juice-groove,true,false,P1
circle-cutting-jig,true,false,P1
classic-picnic-table,true,false,P1
corner-desk,true,false,P1
crosscut-sled,true,false,P1
custom-laminated-canoe-paddle,true,false,P1
cutting-board-storage-rack,true,false,P1
dachshund-cd-holder,true,false,P1
demilune-dining-table,true,false,P1
diy-buffet-table,true,false,P1
diy-mod-clock,true,false,P1
diy-router-table,true,false,P1
diy-wooden-tool-box,true,false,P1
dovetailed-keepsake-box,true,false,P1
edge-grain-maple-cutting-board,true,false,P1
end-grain-walnut-maple-butcher-block,true,false,P1
entryway-storage-bench,true,false,P1
farmhouse-dining-table,true,false,P1
floating-walnut-shelves,true,false,P1
floor-standing-headboard,true,false,P1
folding-guitar-stand,true,false,P1
footed-charcuterie-board,true,false,P1
garden-arbor-bench,true,false,P1
garden-storage-shed,true,false,P1
homestead-bench,true,false,P1
homestead-console-table,true,false,P1
homestead-end-table,true,false,P1
how-to-make-a-corner-clamp,true,false,P1
jacobs-ladder-toy,true,false,P1
kids-toolbox,true,false,P1
large-dog-house,true,false,P1
large-three-sided-outdoor-bar,true,false,P1
leopold-bench,true,false,P1
live-edge-coffee-table,true,false,P1
low-rise-candle-holder,true,false,P1
magnetic-knife-block,true,false,P1
matts-media-tower,true,false,P1
modern-nesting-tables,true,false,P1
modern-tall-dresser,true,false,P1
multi-guitar-stand,true,false,P1
nesting-cutting-boards-and-egg-holder,true,false,P1
nightstand-with-drawer,true,false,P1
oak-coat-rack,true,false,P1
ombre-cutting-board,true,false,P1
one-board-magazine-rack,true,false,P1
open-shelf-console-table,true,false,P1
outdoor-grill-cart,true,false,P1
pine-bookcase,true,false,P1
plant-stand-magazine-rack,true,false,P1
platform-bed-frame-queen,true,false,P1
plywood-jewelry-box,true,false,P1
plywood-picture-frame,true,false,P1
portable-tool-rack,true,false,P1
pvc-window-box,true,false,P1
rolling-lumber-cart,true,false,P1
rolling-shop-cart,true,false,P1
router-table-fence,true,false,P1
salt-pepper-shakers,true,false,P1
shaker-step-stool,true,false,P1
simple-bat-house,true,false,P1
small-square-farmhouse-table,true,false,P1
spice-drawer-organizer,true,false,P1
stacking-sawhorses,true,false,P1
toy-sink-running-water,true,false,P1
trellis-planter,true,false,P1
turned-pepper-mill,true,false,P1
wall-mounted-clamp-rack,true,false,P1
wall-mounted-drop-leaf-table,true,false,P1
wall-mounted-tool-cabinet,true,false,P1
wooden-centerpiece-tray,true,false,P1
wooden-gear-wall-clock,true,false,P1
workbench-with-hutch,true,false,P1
workbench-with-vise,true,false,P1
1x3-blanket-ladder,false,true,P2
2x-wood-rolling-shelf,false,true,P2
2x4-truss-farm-bench,false,true,P2
3-tier-can-organizer,false,true,P2
4x4-x-base-pedestal-table,false,true,P2
adirondack-outdoor-coffee-table,false,true,P2
apothecary-coffee-table-toybox-trundle,false,true,P2
apothecary-console,false,true,P2
balustrade-coffee-table,false,true,P2
barn-door-appliance-cabinet,false,true,P2
barn-door-bookcase,false,true,P2
barn-door-cabinet-with-hooks,false,true,P2
barn-door-entertainment-center,false,true,P2
bench-with-shelf-scrap-wood-top,false,true,P2
benchwright-console-table,false,true,P2
board-and-batten-twin-bed,false,true,P2
bristol-outdoor-lounge-chair,false,true,P2
budget-panel-bed,false,true,P2
cabinet-door-paper-towel-organizer,false,true,P2
cabinet-style-farmhouse-nightstand,false,true,P2
cabinet-style-kitchen-island-wine-grid,false,true,P2
cedar-raised-planter-with-shelf,false,true,P2
channing-desk-hutch,false,true,P2
christmas-tree-card-holder,false,true,P2
christmas-tree-decor-pallet-fence-picket,false,true,P2
chunky-leg-console-table,false,true,P2
chunky-leg-side-table,false,true,P2
classic-cubby-nightstand,false,true,P2
closet-mudroom-hinged-boot-bench,false,true,P2
clubhouse-bed-twin,false,true,P2
corona-coffee-table-square,false,true,P2
counter-height-fancy-x-farmhouse-table,false,true,P2
countertop-pie-safe,false,true,P2
country-shoe-bench,false,true,P2
cubby-desk-drawer,false,true,P2
cube-drawer-bench,false,true,P2
cupcake-tiered-display-stand,false,true,P2
desk-with-drawer-and-shelving,false,true,P2
desk-with-file-cubby-drawers,false,true,P2
diy-art-easel-for-kids,false,true,P2
diy-modern-farmhouse-nightstand,false,true,P2
double-trestle-play-table,false,true,P2
dress-up-center-no-cutting,false,true,P2
dresser-open-bottom-shelf-open-leg,false,true,P2
essential-entryway-shelf-hooks,false,true,P2
extra-wide-media-storage-wall,false,true,P2
farmhouse-counter-stools,false,true,P2
farmhouse-indoor-playhouse,false,true,P2
farmhouse-potting-bench,false,true,P2
fenced-garden-enclosure,false,true,P2
fillman-platform-twin-bed,false,true,P2
fire-station-loft-bed,false,true,P2
fold-down-serving-station,false,true,P2
four-dollar-stackable-kids-chairs,false,true,P2
full-depth-storage-daybed,false,true,P2
full-length-plate-rack,false,true,P2
garden-bench,false,true,P2
grill-caddy-paper-towel-holder,false,true,P2
henry-bookshelf,false,true,P2
hidden-desk-apothecary-cabinet,false,true,P2
house-bed-twin,false,true,P2
in-drawer-knife-block,false,true,P2
kentwood-bed,false,true,P2
kentwood-nightstand,false,true,P2
kids-adirondack-chair,false,true,P2
kids-play-table-paper-roll-holder,false,true,P2
kids-pretend-play-vendor-cart,false,true,P2
kids-storage-leg-desk,false,true,P2
kids-storage-step-stool,false,true,P2
kitchen-cabinet-2x4-base,false,true,P2
large-4-drawer-dresser,false,true,P2
large-firewood-box,false,true,P2
large-square-wall-cubby-organizer,false,true,P2
laundry-basket-organizer-tower,false,true,P2
leaning-wall-shelf,false,true,P2
lightweight-instant-closet-rack,false,true,P2
little-cottage-loft-bed,false,true,P2
long-modern-media-console,false,true,P2
long-wood-bench-dining,false,true,P2
mail-organizer-cabinet,false,true,P2
max-storage-caster-dresser,false,true,P2
media-console-board-and-batten,false,true,P2
media-hutch-basic-collection,false,true,P2
michaelas-kitchen-island,false,true,P2
midcentury-bar-console-cabinet,false,true,P2
mimis-narrow-hall-tree-hutch,false,true,P2
minimal-waste-shop-hutch,false,true,P2
mirrored-pinboard-changing-screen,false,true,P2
modern-backless-bench-2x6,false,true,P2
modern-cutout-nightstand,false,true,P2
modern-farmhouse-coffee-table,false,true,P2
modern-geo-headboard,false,true,P2
modern-industrial-bookshelf-wheels,false,true,P2
modern-kids-bookrack,false,true,P2
modern-outdoor-patio-table,false,true,P2
modern-platform-bed-chunky-legs,false,true,P2
modern-platform-bed-frame-all-sizes,false,true,P2
modern-vertical-slat-console,false,true,P2
modern-wood-side-table,false,true,P2
narrow-console-table-super-simple,false,true,P2
nativity-stable-fence-picket,false,true,P2
office-corner-desktop,false,true,P2
open-end-kitchen-wall-shelf,false,true,P2
outdoor-bench-with-arbor,false,true,P2
outdoor-chair-modern-comfort,false,true,P2
parson-tower-desk,false,true,P2
perfect-console-bookshelf,false,true,P2
pergola-outdoor-room,false,true,P2
pine-and-plain-rectangle-coffee-table,false,true,P2
plant-stand-beverage-bucket-stand,false,true,P2
rhyan-console-table,false,true,P2
rhyan-end-table,false,true,P2
rip-jig-for-circular-saw,false,true,P2
rolling-potting-island,false,true,P2
room-divider-closet,false,true,P2
rotating-standing-photo-display,false,true,P2
rotating-wall-calendar-shelf,false,true,P2
rustic-farmhouse-round-coffee-table,false,true,P2
rustic-kitchen-island,false,true,P2
seed-starter-grow-light-stand,false,true,P2
side-base-cabinets,false,true,P2
side-hutches-board-and-batten,false,true,P2
side-street-modern-bunk-beds,false,true,P2
simple-1x6-storage-shelf,false,true,P2
simple-2x-lumber-hall-tree,false,true,P2
simple-closet-organizer,false,true,P2
simple-end-of-bed-storage-bench,false,true,P2
simple-frame-flips-to-chess-board,false,true,P2
simple-hall-table,false,true,P2
simple-hanging-plant-stand-2x4,false,true,P2
simple-play-kitchen-narrow-fridge,false,true,P2
simple-step-stool-straight-legs,false,true,P2
small-coffee-table-super-simple,false,true,P2
small-modern-desk-keyboard-stand,false,true,P2
space-saving-wall-bike-rack,false,true,P2
stackable-wood-cake-stand,false,true,P2
storage-bed-with-drawers-king,false,true,P2
tall-bench-seat-with-footrest,false,true,P2
timeless-storage-bed-12-drawers,false,true,P2
tongue-and-groove-ottoman-tray,false,true,P2
triple-pedestal-farmhouse-table,false,true,P2
tryde-coffee-table,false,true,P2
vintage-toddler-bed,false,true,P2
wall-mounted-boot-rack,false,true,P2
wall-mounted-rifle-storage-rack,false,true,P2
waterfall-framed-grand-console-table,false,true,P2
wide-dresser-open-bottom-shelf,false,true,P2
wide-entryway-console-open-shelves,false,true,P2
wood-christmas-tree-shelf,false,true,P2
wood-lantern,false,true,P2
wood-slat-low-shelving-unit,false,true,P2
wood-sleigh-decor,false,true,P2
wood-step-stool-splayed-legs,false,true,P2
woven-back-bench,false,true,P2
